id,nombre,estado,especie,origen,ubicacion,episodios,fecha_creacion
4940,  BirdpersonÃ±  ,ALIVE,Alien  ,Citadel of Ricks &amp; Mortys,Anatomy Park,"S02E07,S04E06",2024-12-13T12:00:00.000000Z
7981,BETH SMITH,,Cronenberg,unknown,Anatomy Park,S04E07|S01E06|S01E06|S02E02,NOT_A_DATE
3278,SUMMER SMITH,alive,Robot,Earth (C-137),Earth (C-137),S03E04,
3279,Meeseeks,alive,  HumanÃ±  ,N/A,Citadel of Ricks,S03E08,NOT_A_DATE
2103,Beth Smith,NULL,cronenberg,Abadango,Planet Squanch,['S04E09'],05-08-2017
7936,Meeseeks,DEAD,---,Citadel of Ricks &amp; Mortys,---,"S02E01,S05E02",NOT_A_DATE
3846,Squanchy,alive,human,Earth (C-137),---,S05E06,
1825,Beth Smith,UNKNOWN,  RobotÃ±  ,Abadango,NULL,"S01E03,S03E05,S04E03",2024-01-19T12:00:00.000000Z
4008,Evil Morty,dead,---,,---,['S02E07'],INVALID_DATE_2026
3962,beth smith,unknown,CRONENBERG,Earth (Replacement Dimension),Citadel of Ricks,"['S03E08', 'S05E04']",INVALID_DATE_2026
3185,  Evil Mortyâ€  ,???,Mythological Creature,N/A,Citadel of Ricks,S03E09,NOT_A_DATE
2393,Rick Sanchez,N/A,Human,,Anatomy Park,S05E01|S01E07|S02E06,INVALID_DATE_2026
3486,summer smith,N/A,Human,Earth (C-137),---,S01E09|S01E06|S01E04|S02E05,INVALID_DATE_2026
6057,Summer Smith,unknown,---,Citadel of Ricks &amp; Mortys,NULL,"S01E01,S03E02",NOT_A_DATE
3125,Meeseeks,Dead,  Humanâ€  ,N/A,Gazorpazorp,"S03E06,S04E01,S01E09",07-11-2018
1395,Evil Morty,UNKNOWN, Alien,Earth (Replacement Dimension),Earth (C-137),S02E09|S05E08|S05E05,
7049,Evil Morty,Dead,Unkn0wn,Citadel of Ricks &amp; Mortys,Citadel of Ricks,"S04E01,S01E07",09-21-2024
5583,Beth Smith,N/A,human,N/A,Gazorpazorp,S04E05|S05E07,2017-12-10
1694,  Morty Smith!!  ,DEAD,Alien  ,N/A,Gazorpazorp,S02E09|S01E07|S01E07|S05E01,2019-06-16T12:00:00.000000Z
5187,Birdperson,None,alien  ,unknown,Citadel of Ricks,['S01E03'],NOT_A_DATE
151,Morty Smith,dead,---,unknown,Anatomy Park,"S05E08,S02E02,S04E09",
407,squanchy,,Mythological Creature,Abadango,Earth (C-137),"['S05E09', 'S04E06']",2019-09-25
3714,Jerry Smith,UNKNOWN,mythological creature,Citadel of Ricks &amp; Mortys,Planet Squanch,"['S03E05', 'S01E09', 'S02E08']",2017-06-26T12:00:00.000000Z
4734,  Rick Sanchez    ,NULL,human,Citadel of Ricks &amp; Mortys,Anatomy Park,S01E06|S02E06|S03E01,
7916,Jerry Smith,N/A,Robot,N/A,---,"S02E01,S03E08,S02E02",2022-11-22T12:00:00.000000Z
597,Rick Sanchez,ALIVE,unkn0wn,,Gazorpazorp,"['S03E01', 'S01E07', 'S04E05']",01-03-2024
6363,Jerry Smith,N/A, ALIEN,Citadel of Ricks &amp; Mortys,Anatomy Park,S04E04,NOT_A_DATE
6588,Morty Smith,UNKNOWN,Human,Citadel of Ricks &amp; Mortys,---,S04E01|S05E01,12/03/2021
1721,evil morty,None,  humanÃ¡  ,Earth (Replacement Dimension),NULL,S05E01|S02E08|S04E02|S02E05,NOT_A_DATE
2452,beth smith,UNKNOWN, Alien,unknown,Gazorpazorp,"S02E03,S05E09",2017-08-03T12:00:00.000000Z
2529,Meeseeks,Alive, Alien,Signus 5,Anatomy Park,"['S05E06', 'S02E09']",2024-06-10T12:00:00.000000Z
3186,Rick Sanchez,alive, Alien,Abadango,Planet Squanch,['S04E09'],05-16-2019
7462,Evil Morty,NULL,---,Abadango,Earth (C-137),S03E04|S04E04,04-10-2022
5482,Pickle Rick,unknown, Alien,N/A,Anatomy Park,S05E01,
7466,Birdperson,DEAD,Alien  ,Citadel of Ricks &amp; Mortys,Citadel of Ricks,['S04E02'],
730,Rick Sanchez,,robot,Earth (Replacement Dimension),Citadel of Ricks,S05E01,2020-04-24
4601,Morty Smith,dead,  RobotN/A  ,unknown,NULL,S03E07|S04E02|S04E06|S04E07,2017-12-13T12:00:00.000000Z
1633,  Beth Smithâ€  ,dead,Cronenberg,Citadel of Ricks &amp; Mortys,Planet Squanch,S02E01|S03E01|S01E06|S01E05,2020-10-07
6472,Pickle Rick,ALIVE,---,N/A,Planet Squanch,"S05E04,S03E05,S05E05,S02E08",04-10-2020
1636,Evil Morty,None,alien  ,Earth (C-137),Anatomy Park,S03E04|S04E03|S03E09,2021-09-04
1993,Jerry Smith,???,  Alien  #VALUE!  ,Citadel of Ricks &amp; Mortys,Gazorpazorp,S04E02|S01E01|S05E03,INVALID_DATE_2026
1778,Rick Sanchez,Dead,Alien  ,N/A,Planet Squanch,"S02E01,S05E05,S01E08,S05E07",
817,EVIL MORTY,Dead,robot,N/A,NULL,"S04E09,S04E02,S02E09",2023-10-14T12:00:00.000000Z
2570,Summer Smith,alive,Human,Abadango,NULL,"S04E08,S03E03",
1585,BETH SMITH,Alive,Robot,Earth (Replacement Dimension),---,S01E01|S05E07|S04E08,05-25-2024
4018,  Squanchy!!  ,N/A,cronenberg,,Anatomy Park,S02E07|S05E04|S02E08,05-01-2019
